小木談天,channel/UCbIZINDbRZ-Ao9zgQ4uz9DQ,XiaoMu,
细语人生,channel/UCTk-8RivGf6UPimZHbUHXTw,StoriesOfLife,
新聞最嘲點,channel/UC83_OQeEhmLZYsvJ7aTG3Bg,MrJiang,
新世紀影視,channel/UC_3m3VSxzRMbnZt-rQ5H5Xg,new-century,
美丽心台湾,channel/UC1oRnZMrRBZ82bDh2yM5yMg,formosa,
爸媽必修課,channel/UCXl5qKIDf5Q3oUN96u40M_A,parents,
1000步的繽紛台灣,channel/UC2x5k8GlQg5DA2LsgUYylEg,Taiwan1000,
希望之聲TV,channel/UCk89pEd76qutMB08hVSY49Q,soh-tv,
柏格医生健康知识,channel/UCUXi5mmqbvIithAs9AaxEtw,EricBerg,
新聞大破解,channel/UCHY4xOBo9z03nceB6Pl-yzg,tw-insight,
全球退党服务中心,channel/UC1vENGNAdWWW399VYKWqxuQ,QuitTheCCP,
美國思想領袖,channel/UC_78IIcKAIDpp6SJOlf3vDA,ThoughtLeader,
年代向錢看,channel/UCBuHkb1AS_yRQ71meFNQ3VQ,Era-Money,
台湾新聞精選【新唐人亞太電視】,channel/UCMB2hT9xgADzRKczV0Pp__Q,ntdtv-tw,
珍言真語,channel/UC-rMyi5JlAvMRNpCgRNhZTQ,LiangZhen,
香港大紀元新唐人聯合新聞頻道,channel/UCBRcyI55pANUU4Ofia75yEg,hk-news,
看中國 - 香港,channel/UCGAbl3E1aqqgrjwIaiDDdqQ,VisionTimes-HK,
新唐人電視臺,channel/UCdbvc-yJ4JQjNGTgFiJIZNA,ntd-news,
探索与洞见,channel/UCe5d6KVFTNF3YW4j2UoPSPQ,discovery,
石濤 TV - 聚焦 NEWS 濤哥侃電影,channel/UC6zxZTv5ZbMmEg5GqBmXAUQ,st-news,
臺灣政經最前線,channel/UCCKdJQfcldhnd5LUlasJusw,taiwan,
新唐人熱點直擊,channel/UCyARfLYu6RvoWqX_mekVLnw,primary-scene,
蕭茗看世界,channel/UC6HcLCrHusY7qLwsWGzfXnw,simonegao,
天亮時分,channel/UCjvjNeHndz4PGs9JXhzdHqw,tianliang,
